AD_ID,DATE,PLATFORM,CAMPAIGN_NAME,AD_GROUP,IMPRESSIONS,CLICKS,COST,CONVERSIONS,ctr
1,1/1/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,45623,892,127.5,12,2%
2,1/1/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,12456,567,215.8,34,5%
3,1/1/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,34567,1234,189.9,23,4%
4,1/2/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,42345,823,118.2,10,2%
5,1/2/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,13678,623,234.5,38,5%
6,1/2/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,36789,1345,201.3,25,4%
7,1/3/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,48234,967,134.8,14,2%
8,1/3/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,11234,489,198.7,31,4%
9,1/3/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,38901,1456,213.4,28,4%
10,1/4/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,51234,1023,142.3,15,2%
11,1/4/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,14567,678,245.6,42,5%
12,1/4/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,67890,234,89.5,5,0%
13,1/5/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,46789,934,131.2,13,2%
14,1/5/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,12890,567,220.3,36,4%
15,1/5/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,71234,256,94.8,6,0%
16,1/6/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,44567,878,125.6,11,2%
17,1/6/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,35678,1289,195.6,24,4%
18,1/6/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,69456,245,91.2,5,0%
19,1/7/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,49876,1067,145.9,16,2%
20,1/7/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,13456,623,237.8,40,5%
21,1/7/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,37234,1367,207.9,27,4%
22,1/8/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,47234,945,135.4,14,2%
23,1/8/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,12123,534,212.4,35,4%
24,1/8/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,73456,267,98.3,7,0%
25,1/9/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,50123,1012,141.7,15,2%
26,1/9/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,36456,1312,199.8,26,4%
27,1/9/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,70123,253,93.6,6,0%
28,1/10/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,48567,978,137.8,14,2%
29,1/10/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,13789,645,241.2,41,5%
30,1/10/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,38456,1423,217.5,29,4%
31,1/11/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,52123,1089,148.6,17,2%
32,1/11/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,14567,723,256.4,44,5%
33,1/11/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,39789,1534,225.8,31,4%
34,1/11/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,76234,278,101.5,8,0%
35,1/12/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,49234,1012,140.3,15,2%
36,1/12/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,13456,634,239.7,39,5%
37,1/12/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,37890,1398,212.4,28,4%
38,1/12/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,72890,261,96.8,7,0%
39,1/13/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,42345,856,121.5,12,2%
40,1/13/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,11234,523,198.6,32,5%
41,1/13/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,33456,1203,185.3,23,4%
42,1/13/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,64567,238,83.4,5,0%
43,1/14/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,40123,798,114.7,11,2%
44,1/14/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,10567,489,185.9,29,5%
45,1/14/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,31234,1123,173.8,21,4%
46,1/14/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,61234,223,78.9,4,0%
47,1/15/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,46789,934,132.4,14,2%
48,1/15/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,12890,567,221.3,37,4%
49,1/15/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,35678,1289,196.6,25,4%
50,1/15/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,68456,248,87.6,6,0%
51,1/16/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,50234,1023,143.8,16,2%
52,1/16/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,14234,678,248.5,42,5%
53,1/16/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,38456,1423,218.7,30,4%
54,1/16/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,73456,267,94.2,7,0%
55,1/17/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,51789,1089,152.3,18,2%
56,1/17/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,15234,734,264.7,46,5%
57,1/17/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,40123,1534,232.8,33,4%
58,1/17/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,75890,278,98.5,8,0%
59,1/18/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,49567,1012,144.6,16,2%
60,1/18/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,14567,689,253.4,43,5%
61,1/18/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,38901,1456,224.5,31,4%
